Soil	Sample_ID	Initial_Slope	Final_Value
Soil3	Soil3_CE_239_-11_None_T9	0.02	0.629
Soil3	Soil3_CE_239_-14_None_T9	0.021	0.324
Soil3	Soil3_CE_239_-16_None_T9	0.023	0.395
Soil3	Soil3_CE_239_-19_None_T9	0.022	0.0
Soil3	Soil3_CE_239_-22_None_T9	0.022	0.0
Soil3	Soil3_CE_239_-26_None_T9	0.045	0.0
Soil3	Soil3_CE_239_-32_None_T9	0.029	0.0
Soil3	Soil3_CE_239_-50_None_T9	0.006	0.0
Soil3	Soil3_CE_239_-7_None_T9	0.015	0.735
Soil3	Soil3_CE_239_0_None_T9	0.011	1.147
Soil3	Soil3_CE_239_9_None_T9	-0.0	1.528
Soil5	Soil5_CE_201_-12_None_T9	0.02	0.0
Soil5	Soil5_CE_201_-15_None_T9	0.022	0.0
Soil5	Soil5_CE_201_-19_None_T9	0.022	0.0
Soil5	Soil5_CE_201_-23_None_T9	0.019	0.0
Soil5	Soil5_CE_201_-28_None_T9	0.018	0.0
Soil5	Soil5_CE_201_-35_None_T9	0.018	0.0
Soil5	Soil5_CE_201_-5_None_T9	0.012	0.72
Soil5	Soil5_CE_201_-55_None_T9	0.01	0.0
Soil5	Soil5_CE_201_-9_None_T9	0.017	0.608
Soil5	Soil5_CE_201_0_None_T9	0.005	0.71
Soil5	Soil5_CE_201_7_None_T9	-0.001	0.674
Soil6	Soil6_CE_73_-11_None_T9	0.024	0.709
Soil6	Soil6_CE_73_-14_None_T9	0.022	0.64
Soil6	Soil6_CE_73_-17_None_T9	0.024	0.402
Soil6	Soil6_CE_73_-21_None_T9	0.028	0.103
Soil6	Soil6_CE_73_-26_None_T9	0.028	0.0
Soil6	Soil6_CE_73_-4_None_T9	0.018	0.997
Soil6	Soil6_CE_73_-40_None_T9	0.018	0.0
Soil6	Soil6_CE_73_-7_None_T9	0.019	0.885
Soil6	Soil6_CE_73_-70_None_T9	0.013	0.0
Soil6	Soil6_CE_73_0_None_T9	0.015	0.998
Soil6	Soil6_CE_73_7_None_T9	0.004	1.35
Soil9	Soil9_CE_277_-10_None_T9	0.015	0.675
Soil9	Soil9_CE_277_-13_None_T9	0.015	0.604
Soil9	Soil9_CE_277_-16_None_T9	0.017	0.515
Soil9	Soil9_CE_277_-2_None_T9	0.008	1.146
Soil9	Soil9_CE_277_-20_None_T9	0.013	0.327
Soil9	Soil9_CE_277_-28_None_T9	0.018	0.0
Soil9	Soil9_CE_277_-5_None_T9	0.013	1.037
Soil9	Soil9_CE_277_-7_None_T9	0.013	0.955
Soil9	Soil9_CE_277_-75_None_T9	0.002	0.0
Soil9	Soil9_CE_277_0_None_T9	0.011	1.158
Soil9	Soil9_CE_277_4_None_T9	0.008	1.176
Soil11	Soil11_CE_234_-10_None_T9	0.027	0.575
Soil11	Soil11_CE_234_-100_None_T9	0.012	0.0
Soil11	Soil11_CE_234_-14_None_T9	0.031	0.33
Soil11	Soil11_CE_234_-18_None_T9	0.029	0.206
Soil11	Soil11_CE_234_-25_None_T9	0.028	0.0
Soil11	Soil11_CE_234_-3_None_T9	0.021	1.003
Soil11	Soil11_CE_234_-5_None_T9	0.02	0.861
Soil11	Soil11_CE_234_-50_None_T9	0.023	0.0
Soil11	Soil11_CE_234_-8_None_T9	0.021	0.686
Soil11	Soil11_CE_234_0_None_T9	0.019	0.991
Soil11	Soil11_CE_234_3_None_T9	0.009	1.125
Soil12	Soil12_CE_229_-100_None_T9	-0.003	0.0
Soil12	Soil12_CE_229_-13_None_T9	0.022	0.465
Soil12	Soil12_CE_229_-2_None_T9	0.02	0.743
Soil12	Soil12_CE_229_-32_None_T9	0.022	0.0
Soil12	Soil12_CE_229_-4_None_T9	0.018	0.983
Soil12	Soil12_CE_229_-6_None_T9	0.019	0.84
Soil12	Soil12_CE_229_-9_None_T9	0.023	0.713
Soil12	Soil12_CE_229_0_None_T9	0.012	1.194
Soil12	Soil12_CE_229_10_None_T9	0.003	1.539
Soil12	Soil12_CE_229_3_None_T9	0.008	1.195
Soil12	Soil12_CE_229_6_None_T9	0.005	1.262
Soil14	Soil14_CE_251_N2_-2_None_T9	0.024	0.0
Soil14	Soil14_CE_251_N2_-23_None_T9	0.025	0.0
Soil14	Soil14_CE_251_N2_-5_None_T9	0.03	0.0
Soil14	Soil14_CE_251_N2_-8_None_T9	0.031	0.0
Soil14	Soil14_CE_251_N2_-90_None_T9	0.007	0.0
Soil14	Soil14_CE_251_N2_0_None_T9	0.019	0.0
Soil14	Soil14_CE_251_N2_14_None_T9	0.005	1.162
Soil14	Soil14_CE_251_N2_2_None_T9	0.017	0.0
Soil14	Soil14_CE_251_N2_22_None_T9	0.006	1.828
Soil14	Soil14_CE_251_N2_5_None_T9	0.011	1.023
Soil14	Soil14_CE_251_N2_9_None_T9	0.004	1.204
Soil15	Soil15_CE_251_N5_-100_None_T9	0.003	0.0
Soil15	Soil15_CE_251_N5_-65_None_T9	0.008	0.0
Soil15	Soil15_CE_251_N5_0_None_T9	0.032	0.0
Soil15	Soil15_CE_251_N5_12_None_T9	0.024	0.617
Soil15	Soil15_CE_251_N5_16_None_T9	0.017	0.915
Soil15	Soil15_CE_251_N5_20_None_T9	0.01	1.163
Soil15	Soil15_CE_251_N5_22_None_T9	0.01	1.47
Soil15	Soil15_CE_251_N5_26_None_T9	0.008	1.511
Soil15	Soil15_CE_251_N5_30_None_T9	0.003	1.548
Soil15	Soil15_CE_251_N5_34_None_T9	0.003	1.649
Soil15	Soil15_CE_251_N5_7_None_T9	0.023	0.082
Soil16	Soil16_CE_251_N6_-100_None_T9	0.008	0.0
Soil16	Soil16_CE_251_N6_-7_None_T9	0.022	0.0
Soil16	Soil16_CE_251_N6_0_None_T9	0.015	0.057
Soil16	Soil16_CE_251_N6_11_None_T9	0.013	1.275
Soil16	Soil16_CE_251_N6_14_None_T9	0.005	1.275
Soil16	Soil16_CE_251_N6_18_None_T9	0.005	1.528
Soil16	Soil16_CE_251_N6_22_None_T9	0.007	1.416
Soil16	Soil16_CE_251_N6_28_None_T9	0.004	1.586
Soil16	Soil16_CE_251_N6_3_None_T9	0.017	0.736
Soil16	Soil16_CE_251_N6_6_None_T9	0.015	0.989
Soil16	Soil16_CE_251_N6_8_None_T9	0.015	1.107
Soil17	Soil17_CE_251_N3_-100_None_T9	0.003	0.0
Soil17	Soil17_CE_251_N3_-4_None_T9	0.019	0.018
Soil17	Soil17_CE_251_N3_-40_None_T9	0.015	0.012
Soil17	Soil17_CE_251_N3_0_None_T9	0.01	0.002
Soil17	Soil17_CE_251_N3_10_None_T9	0.006	1.172
Soil17	Soil17_CE_251_N3_13_None_T9	0.003	1.528
Soil17	Soil17_CE_251_N3_16_None_T9	0.001	1.538
Soil17	Soil17_CE_251_N3_20_None_T9	-0.002	1.75
Soil17	Soil17_CE_251_N3_24_None_T9	0.002	1.634
Soil17	Soil17_CE_251_N3_28_None_T9	-0.003	1.975
Soil17	Soil17_CE_251_N3_6_None_T9	0.01	1.007
